bar_id	start_node	x1	y1	z1	end_node	x2	y2	z2	L	storey
100530	23150	16.035	42.82	6	23251	22.014	43.962	6	6.08708509879729	2F
288	23321	7.13005654	55.68545395	6	3277	8.7622326	57.58427809	6	2.50390331392485	2F
372	2238	6.4698592	32.9885657	6	23466	7.01284216	32.56074538	6	0.691274707374186	2F
289	3277	8.7622326	57.58427809	6	23322	11.89398098	61.22765922	6	4.80438070661274	2F
300	59	6.05985372	50.74215708	6	23546	4.16464695	52.23558622	6	2.41291095924714	2F
297	1087	5.53944129	45.55931723	6	3281	8.25909766	49.00914566	6	4.39293147764882	2F
171	23314	0.14586826	51.46126938	6	23318	2.26944017	53.72901535	6	3.10680373396716	2F
188	23318	2.26944017	53.72901535	6	23317	5.38737679	57.0586319	6	4.56156498762989	2F
194	23317	5.38737679	57.0586319	6	23580	7.10345793	58.89122009	6	2.51064014808797	2F
196	23310	2.10280037	45.71985626	6	23316	3.34103944	47.29143123	6	2.00077082165973	2F
197	23316	3.34103944	47.29143123	6	23311	4.14429501	48.3109247	6	1.29791619379244	2F
200	23311	4.14429501	48.3109247	6	59	6.05985372	50.74215708	6	3.09519887196564	2F
263	59	6.05985372	50.74215708	6	105	8.87273628	54.31227599	6	4.54511356600599	2F
269	105	8.87273628	54.31227599	6	23312	10.42100239	56.27733994	6	2.50172026313178	2F
195	23308	-2.11730003	49.04445267	6	3225	-1.09201477	50.13934542	6	1.49999999945861	2F
199	3225	-1.09201477	50.13934542	6	23314	0.14586826	51.46126938	6	1.81103212339927	2F
2277	2193	7.05971719	12.38434986	6	2195	7.32	11.852	6	0.592573636456699	2F
2279	2205	32.699	35.548	6	2210	35.12917298	38.62886354	6	3.92395984495553	2F
2280	2210	35.12917298	38.62886354	6	2178	36.32189115	40.14108578	6	1.92597838414629	2F
250	8112	4.9519309	27.59650674	6	2251	5.34086213	25.7440123	6	1.89288223402837	2F
290	23323	-0.00724983	47.38215447	6	3226	0.9705325	48.51967006	6	1.50000000078443	2F
291	3226	0.9705325	48.51967006	6	23319	2.14546133	49.88696968	6	1.80276620958385	2F
100657	105	8.87273628	54.31227599	6	23321	7.13005654	55.68545395	6	2.2186821282095	2F
2281	2211	42.10830755	35.58534108	6	2212	42.81532614	35.02909911	6	0.899600142171548	2F
100645	23319	2.14546133	49.88696968	6	23546	4.16464695	52.23558622	6	3.09727464393721	2F
100646	23546	4.16464695	52.23558622	6	23321	7.13005654	55.68545395	6	4.54920228072564	2F
346	23546	4.16464695	52.23558622	6	23318	2.26944017	53.72901535	6	2.41291096091226	2F
100658	23321	7.13005654	55.68545395	6	23317	5.38737679	57.0586319	6	2.21868212987491	2F
295	23254	18.839	55.755	6	23436	15.59098816	58.31480026	6	4.13547558134204	2F
296	23436	15.59098816	58.31480026	6	23313	13.39163017	60.04766846	6	2.80000138691896	2F
100649	23580	7.10345793	58.89122009	6	23309	10.39633179	62.40764999	6	4.81749909179912	2F
100650	23312	10.42100239	56.27733994	6	23313	13.39163017	60.04766846	6	4.80000068292007	2F
298	3274	11.07201714	52.57931043	6	23436	15.59098816	58.31480026	6	7.30184515513944	2F
299	23261	14.32	50.02	6	3274	11.07201714	52.57931043	6	4.13514963888377	2F
342	3274	11.07201714	52.57931043	6	105	8.87273628	54.31227599	6	2.80000105951916	2F
